1;;2;;3;;;
0;;0;;400;;0;
0;343.35944;0;180.6789;0;343.35944;0;343.35944
75;36.60866;150;3.56639;300;15.11189;150;14.11426
150;38.60393;300;4.19633;400;24.4883;300;16.10953
300;46.9827;500;8.31726;500;46.9827;;24.4883
else;53.42403;else;12.84498;else;53.42403;else;
